Company Domain,Company Name,Website Emails,Website Phones,Website Social Links,CEO LinkedIn,CEO Twitter/X,CEO Instagram,CEO TikTok,Search Method,Search Confidence,Processing Status,Timestamp
https://www.monad.xyz,Monad,,,,https://www.linkedin.com/in/keone-hon/,,,,gemini,Unknown,Success,2025-08-30 12:42:16
https://www.eigencloud.xyz,Eigencloud,press@eigenlabs.org,,,,,,,gemini,Unknown,Success,2025-08-30 12:42:46
https://celestia.org,Celestia,,,,,,,,gemini,Unknown,Success,2025-08-30 12:43:03
https://ritual.net,Ritual,hello@ritual.net,,,,,,,gemini,Unknown,Success,2025-08-30 12:43:21
https://berachain.com,Berachain,,1756545216,,"https://www.linkedin.com/company/berachain [3, 18, 19]",,,,gemini,Unknown,Success,2025-08-30 12:43:29
https://www.availproject.org,Availproject,,,,empty string,,,,gemini,Unknown,Success,2025-08-30 12:43:38
https://www.succinct.xyz,Succinct,,,,https://www.linkedin.com/company/succinctlabs,,,,gemini,Unknown,Success,2025-08-30 12:44:00
https://layerzero.network,Layerzero,,,,https://www.linkedin.com/in/bryan-pellegrino-93993921/,,,,gemini,Unknown,Success,2025-08-30 12:44:17
https://www.gensyn.ai,Gensyn,,,,empty string,,,,gemini,Unknown,Success,2025-08-30 12:44:46
https://ondo.finance,Ondo,,,,,,,,gemini,Unknown,Success,2025-08-30 12:45:04
https://centrifuge.io,Centrifuge,,,,,,,,gemini,Unknown,Success,2025-08-30 12:45:26
https://movementlabs.xyz,Movementlabs,,,,,,,,gemini,Unknown,Success,2025-08-30 12:45:48
https://www.espressosys.com,Espressosys,,,,,,,,gemini,Unknown,Success,2025-08-30 12:47:23
https://hivemapper.com,Hivemapper,,,,https://www.linkedin.com/in/aseidman,,,,gemini,Unknown,Success,2025-08-30 12:47:37
https://weatherxm.com,Weatherxm,,,,https://www.linkedin.com/in/manolis-nikiforakis-49294120/,,,,gemini,Unknown,Success,2025-08-30 12:47:51
https://www.privy.io,Privy,sales@privy.io,,,,,,,gemini,Unknown,Success,2025-08-30 12:48:16
https://world.org,World,,,,,,,,gemini,Unknown,Success,2025-08-30 12:48:39
https://farcaster.xyz,Farcaster,,,,,,,,gemini,Unknown,Success,2025-08-30 12:49:02
https://galactica.com,Galactica,,,,,,,,gemini,Unknown,Success,2025-08-30 12:49:13
https://ironmill.xyz,Ironmill,,,,empty string,,,,gemini,Unknown,Success,2025-08-30 12:49:42
