Company Domain,Company Name,Website Emails,Website Phones,Website Social Links,CEO LinkedIn,CEO Twitter/X,CEO Instagram,CEO TikTok,Processing Status,Timestamp
https://www.monad.xyz,Monad,,,,https://www.linkedin.com/in/keone-hon,https://x.com/keonehd,,,Success,2025-08-30 11:25:41
https://www.eigencloud.xyz,Eigencloud,press@eigenlabs.org,,,,,,,Success,2025-08-30 11:27:25
https://celestia.org,Celestia,,,,https://uk.linkedin.com/in/steve-jones-a38a3811,https://x.com/musalbas,https://www.instagram.com/musalbass/,,Success,2025-08-30 11:28:56
https://ritual.net,Ritual,hello@ritual.net,,,https://www.linkedin.com/in/katerinaschneider/,,,,Success,2025-08-30 11:30:27
https://berachain.com,Berachain,,1756540918,,https://www.linkedin.com/in/adamlee3,https://x.com/itsdevbear,,,Success,2025-08-30 11:30:36
https://www.availproject.org,Availproject,,,,https://in.linkedin.com/in/anuragarjun,https://x.com/anuragarjun,,,Success,2025-08-30 11:32:01
https://www.succinct.xyz,Succinct,,,,https://www.linkedin.com/in/umaroy,https://x.com/keanooreeves,,,Success,2025-08-30 11:33:37
https://layerzero.network,Layerzero,,,,https://ca.linkedin.com/in/bryanpellegrino,https://x.com/LayerZero_Core/affiliates,https://www.instagram.com/cryptomadsofficial/,,Success,2025-08-30 11:35:09
https://www.gensyn.ai,Gensyn,,,,https://ca.linkedin.com/in/steven-peng-3073491a7/en,https://x.com/fenbielding,,,Success,2025-08-30 11:36:50
https://ondo.finance,Ondo,,,,https://www.linkedin.com/in/nathanlallman,https://x.com/nathanlallman,,,Success,2025-08-30 11:38:19
https://centrifuge.io,Centrifuge,,,,https://ae.linkedin.com/in/anish-alfred-27230127,,,,Success,2025-08-30 11:40:15
https://movementlabs.xyz,Movementlabs,,,,,,,,Failed,2025-08-30 11:41:51
